Week of,Henry Hub Natural Gas Spot Price Dollars per Million Btu
8/11/00,4.44
8/4/00,4.01
7/28/00,3.72
7/21/00,3.98
7/14/00,4.18
7/7/00,4.15
6/30/00,4.39
6/23/00,4.28
6/16/00,4.3
6/9/00,4.19
6/2/00,4.36
5/26/00,4.04
5/19/00,3.56
5/12/00,3.26
5/5/00,3.15
4/28/00,3.11
4/21/00,3.11
4/14/00,3.03
4/7/00,2.92
3/31/00,2.88
3/24/00,2.77
3/17/00,2.81
3/10/00,2.74
3/3/00,2.7
2/25/00,2.52
2/18/00,2.64
2/11/00,2.67
2/4/00,2.81
1/28/00,2.71
1/21/00,2.46
1/14/00,2.25
1/7/00,2.18
12/31/99,2.33
12/24/99,2.53
12/17/99,2.49
12/10/99,2.21
12/3/99,2.2
11/26/99,2
11/19/99,2.24
11/12/99,2.39
11/5/99,2.75
10/29/99,2.94
10/22/99,2.92
10/15/99,2.67
10/8/99,2.45
10/1/99,2.46
9/24/99,2.42
9/17/99,2.58
9/10/99,2.7
9/3/99,2.69
8/27/99,2.98
8/20/99,2.8
8/13/99,2.75
8/6/99,2.63
7/30/99,2.58
7/23/99,2.29
7/16/99,2.14
7/9/99,2.21
7/2/99,2.29
6/25/99,2.25
6/18/99,2.27
6/11/99,2.37
6/4/99,2.34
5/28/99,2.23
5/21/99,2.27
5/14/99,2.24
5/7/99,2.3
4/30/99,2.3
4/23/99,2.18
4/16/99,2.12
4/9/99,2.04
4/2/99,1.92
3/26/99,1.79
3/19/99,1.75
3/12/99,1.87
3/5/99,1.69
2/26/99,1.7
2/19/99,1.79
2/12/99,1.81
2/5/99,1.79
1/29/99,1.76
1/22/99,1.81
1/15/99,1.81
1/8/99,2
1/1/99,1.84
12/25/98,1.95
12/18/98,1.93
12/11/98,1.6
12/4/98,1.34
11/27/98,2.08
11/20/98,2.12
11/13/98,2.27
11/6/98,2.11
10/30/98,1.89
10/23/98,1.9
10/16/98,1.73
10/9/98,1.99
10/2/98,2.2
9/25/98,2.24
9/18/98,2.07
9/11/98,1.83
9/4/98,1.72
8/28/98,1.81
8/21/98,1.93
8/14/98,1.85
8/7/98,1.86
7/31/98,1.95
7/24/98,2.05
7/17/98,2.21
7/10/98,2.36
7/3/98,2.39
6/26/98,2.38
6/19/98,2.11
6/12/98,2
6/5/98,2.1
5/29/98,2.09
5/22/98,2.13
5/15/98,2.2
5/8/98,2.14
5/1/98,2.23
4/24/98,2.4
4/17/98,2.46
4/10/98,2.57
4/3/98,2.41
3/27/98,2.3
3/20/98,2.23
3/13/98,2.22
3/6/98,2.18
2/27/98,2.22
2/20/98,2.2
2/13/98,2.21
2/6/98,2.28
1/30/98,2.08
1/23/98,2.11
1/16/98,2.05
1/9/98,2.11
1/2/98,2.26
12/26/97,2.21
12/19/97,2.34
12/12/97,2.34
12/5/97,2.51
11/28/97,2.55
11/21/97,2.89
11/14/97,3.25
11/7/97,3.16
10/31/97,3.42
10/24/97,3.21
10/17/97,2.89
10/10/97,2.83
10/3/97,3
9/26/97,3.08
9/19/97,2.85
9/12/97,2.76
9/5/97,2.77
8/29/97,2.58
8/22/97,2.54
8/15/97,2.53
8/8/97,2.37
8/1/97,2.22
7/25/97,2.2
7/18/97,2.24
7/11/97,2.15
7/4/97,2.15
6/27/97,2.27
6/20/97,2.22
6/13/97,2.16
6/6/97,2.17
5/30/97,2.28
5/23/97,2.22
5/16/97,2.22
5/9/97,2.29
5/2/97,2.15
4/25/97,2.14
4/18/97,2.04
4/11/97,1.98
4/4/97,1.88
3/28/97,1.84
3/21/97,1.91
3/14/97,1.96
3/7/97,1.86
2/28/97,1.82
2/21/97,1.91
2/14/97,2.3
2/7/97,2.53
1/31/97,2.91
1/24/97,2.98
1/17/97,4.19
1/10/97,3.79
